"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - WYRÓWNANIE (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-86-42QLVN";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 597,08";"-1,98377%";"-0,32";"0,00";"-0,32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M7E9";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,39";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M77Y";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802,39";"-1,98377%";"-0,16";"0,00";"-0,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42M26H";"-";"-";"Gaz Ziemny - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"370,50";"-61,49393%";"-2,33";"0,00";"-2,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-83-42N13N";"-";"-";"Germany 30 - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"230,02";"-2,48200%";"-0,07";"0,00";"-0,07";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 23:00:22";"Koszty Utrzymania Pozycji";"O4-86-42R2KD";"-";"-";"Złoto - Kasowy";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1 068,58";"-1,98377%";"-0,22";"0,00";"-0,22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 21:12:00";"Zmodyfikowano Stop Loss";"O4-86-42QLVN";"-";"O4-86-42QLVP";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 883,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 21:11:49";"Zmodyfikowano Stop Loss";"O4-86-42QV7V";"-";"O4-86-42QV7W";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 907,69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:44:20";"Zmodyfikowano Stop Loss";"O4-86-42QV7V";"-";"O4-86-42QV7W";"Złoto - Kasowy";"0,828 Jednost.";"1 939,69";"-";"1 915,33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:44:13";"Zmodyfikowano Stop Loss";"O4-86-42QLVN";"-";"O4-86-42QLVP";"Złoto - Kasowy";"0,828 Jednost.";"1 944,78";"-";"1 915,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"24 Sie 2020 16:43:28";" Transakcja Kupna";"O4-86-42R2KD";"T4-86-38WKD9";"-";"Złoto - Kasowy";"0,554 Jednost.";"1 935,56";"-";"1 916,17";"-";"-";"3,72548";"3 994,83";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
